nameWithOwner,createdAt,pullRequests,issues,ageInYears
mui-org/material-ui,2014-08-18T19:11:54Z,13142,13007,6.75
ElemeFE/element,2016-09-03T06:19:26Z,4595,16380,4.71
vuetifyjs/vuetify,2016-09-12T00:39:35Z,3497,9914,4.68
brillout/awesome-react-components,2016-06-24T15:19:33Z,258,38,4.9
iview/iview,2016-07-28T01:52:59Z,1049,5520,4.81
bvaughn/react-virtualized,2015-11-03T00:48:07Z,599,1041,5.54
enzymejs/enzyme,2015-11-10T21:45:38Z,796,1721,5.52
necolas/react-native-web,2015-06-09T19:25:38Z,549,1445,5.95
quasarframework/quasar,2015-10-05T15:45:36Z,3241,5676,5.62
airyland/vux,2016-02-15T03:23:27Z,472,3278,5.26
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,1773,1808,1.75
ElemeFE/mint-ui,2016-05-17T09:54:10Z,406,1223,5.01
Semantic-Org/Semantic-UI-React,2015-06-19T16:47:19Z,1816,2388,5.92
surmon-china/vue-awesome-swiper,2016-10-05T17:15:44Z,63,723,4.62
microsoft/fluentui,2016-06-06T15:03:44Z,10505,7653,4.95
casesandberg/react-color,2015-08-09T18:45:30Z,338,483,5.78
ant-design/ant-design-mobile,2015-11-30T03:33:06Z,757,3042,5.47
didi/cube-ui,2017-11-03T06:17:27Z,181,590,3.54
epicmaxco/vuestic-admin,2017-07-31T11:52:40Z,337,475,3.8
rebassjs/rebass,2015-02-11T14:48:09Z,633,469,6.27
fkhadra/react-toastify,2016-11-08T12:32:52Z,163,431,4.53
surmon-china/vue-quill-editor,2016-12-15T14:38:40Z,32,418,4.42
uber/baseweb,2018-03-09T01:32:10Z,3478,782,3.19
react-ui-builder/structor,2015-10-17T15:49:40Z,20,113,5.59
nteract/nteract,2015-06-15T23:21:49Z,3845,1636,5.93
rsuite/rsuite,2016-06-06T02:27:46Z,1111,543,4.95
insin/nwb,2015-11-10T23:32:58Z,79,491,5.52
lusaxweb/vuesax,2018-01-30T23:53:19Z,300,680,3.3
mobxjs/mobx-react,2015-08-28T11:09:05Z,233,671,5.73
shakacode/react_on_rails,2015-08-20T20:31:54Z,730,642,5.75
adobe/react-spectrum,2019-09-13T23:32:51Z,1290,594,1.68
appbaseio/reactivesearch,2017-02-15T15:21:24Z,646,1010,4.25
beautifulinteractions/beautiful-react-hooks,2019-12-18T19:50:43Z,206,41,1.42
APSL/react-native-keyboard-aware-scroll-view,2015-10-20T18:22:34Z,139,348,5.58
gpbl/react-day-picker,2014-12-28T17:07:20Z,482,636,6.39
ant-design/ant-motion,2016-02-17T02:48:28Z,251,241,5.25
surmon-china/vue-video-player,2016-09-28T14:11:18Z,32,382,4.64
gilbarbara/react-joyride,2015-08-28T02:56:09Z,147,472,5.73
herozhou/vue-framework-wz,2017-08-16T09:22:18Z,7,87,3.76
0wczar/airframe-react,2019-08-14T21:34:00Z,8,42,1.76
epicmaxco/epic-spinners,2017-12-05T09:05:15Z,7,37,3.45
hustcc/echarts-for-react,2016-06-03T06:08:21Z,53,374,4.96
mariusandra/pigeon-maps,2016-12-16T13:55:49Z,51,80,4.42
jdf2e/nutui,2018-01-22T01:50:28Z,104,357,3.32
shinygang/Vue-cnodejs,2015-08-14T08:30:53Z,17,80,5.76
lingui/js-lingui,2017-01-17T17:26:46Z,456,595,4.33
