,cursor,name_with_owner,url,stargazer_count,issue_close_median
0,Y3Vyc29yOjE=,mui-org/material-ui,https://github.com/mui-org/material-ui,67085,0.0
1,Y3Vyc29yOjI=,brillout/awesome-react-components,https://github.com/brillout/awesome-react-components,26342,0.0
2,Y3Vyc29yOjM=,bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,21335,312.0
3,Y3Vyc29yOjQ=,enzymejs/enzyme,https://github.com/enzymejs/enzyme,19464,96.0
4,Y3Vyc29yOjU=,necolas/react-native-web,https://github.com/necolas/react-native-web,18484,2160.0
5,Y3Vyc29yOjY=,chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,16433,0.0
6,Y3Vyc29yOjc=,Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,12160,4056.0
7,Y3Vyc29yOjg=,microsoft/fluentui,https://github.com/microsoft/fluentui,11139,2856.0
8,Y3Vyc29yOjk=,ant-design/ant-design-mobile,https://github.com/ant-design/ant-design-mobile,8755,5880.0
9,Y3Vyc29yOjEw,rebassjs/rebass,https://github.com/rebassjs/rebass,7207,2784.0
10,Y3Vyc29yOjEx,uber/baseweb,https://github.com/uber/baseweb,6182,2472.0
11,Y3Vyc29yOjEy,react-ui-builder/structor,https://github.com/react-ui-builder/structor,5530,120.0
12,Y3Vyc29yOjEz,nteract/nteract,https://github.com/nteract/nteract,5466,6912.0
13,Y3Vyc29yOjE0,rsuite/rsuite,https://github.com/rsuite/rsuite,5366,3000.0
14,Y3Vyc29yOjE1,mobxjs/mobx-react,https://github.com/mobxjs/mobx-react,4716,0.0
15,Y3Vyc29yOjE2,shakacode/react_on_rails,https://github.com/shakacode/react_on_rails,4685,1224.0
16,Y3Vyc29yOjE3,adobe/react-spectrum,https://github.com/adobe/react-spectrum,4444,48.0
17,Y3Vyc29yOjE4,appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,4373,672.0
18,Y3Vyc29yOjE5,beautifulinteractions/beautiful-react-hooks,https://github.com/beautifulinteractions/beautiful-react-hooks,4186,0.0
19,Y3Vyc29yOjIw,APSL/react-native-keyboard-aware-scroll-view,https://github.com/APSL/react-native-keyboard-aware-scroll-view,4137,3264.0
20,Y3Vyc29yOjIx,ant-design/ant-motion,https://github.com/ant-design/ant-motion,4097,528.0
21,Y3Vyc29yOjIy,0wczar/airframe-react,https://github.com/0wczar/airframe-react,3489,72.0
22,Y3Vyc29yOjIz,lingui/js-lingui,https://github.com/lingui/js-lingui,3030,792.0
23,Y3Vyc29yOjI0,roylee0704/react-flexbox-grid,https://github.com/roylee0704/react-flexbox-grid,2808,96.0
24,Y3Vyc29yOjI1,weui/react-weui,https://github.com/weui/react-weui,2757,1032.0
25,Y3Vyc29yOjI2,ElemeFE/element-react,https://github.com/ElemeFE/element-react,2607,48.0
26,Y3Vyc29yOjI3,xiaolin/react-image-gallery,https://github.com/xiaolin/react-image-gallery,2571,72.0
27,Y3Vyc29yOjI4,react-component/slider,https://github.com/react-component/slider,2456,336.0
28,Y3Vyc29yOjI5,elrumordelaluz/reactour,https://github.com/elrumordelaluz/reactour,2241,0.0
29,Y3Vyc29yOjMw,zhihu/griffith,https://github.com/zhihu/griffith,2141,264.0
30,Y3Vyc29yOjMx,rcaferati/react-awesome-slider,https://github.com/rcaferati/react-awesome-slider,2051,0.0
31,Y3Vyc29yOjMy,video-react/video-react,https://github.com/video-react/video-react,2045,0.0
32,Y3Vyc29yOjMz,rnosov/react-reveal,https://github.com/rnosov/react-reveal,2024,1968.0
33,Y3Vyc29yOjM0,primefaces/primereact,https://github.com/primefaces/primereact,1929,0.0
34,Y3Vyc29yOjM1,tabler/tabler-react,https://github.com/tabler/tabler-react,1690,24.0
35,Y3Vyc29yOjM2,DevExpress/devextreme-reactive,https://github.com/DevExpress/devextreme-reactive,1622,168.0
36,Y3Vyc29yOjM3,geist-org/react,https://github.com/geist-org/react,1606,0.0
37,Y3Vyc29yOjM4,nexxtway/react-rainbow,https://github.com/nexxtway/react-rainbow,1544,0.0
38,Y3Vyc29yOjM5,kentcdodds/advanced-react-patterns,https://github.com/kentcdodds/advanced-react-patterns,1487,0.0
39,Y3Vyc29yOjQw,beizhedenglong/rough-charts,https://github.com/beizhedenglong/rough-charts,1465,5304.0
40,Y3Vyc29yOjQx,siriwatknp/mui-treasury,https://github.com/siriwatknp/mui-treasury,1438,48.0
41,Y3Vyc29yOjQy,react-cropper/react-cropper,https://github.com/react-cropper/react-cropper,1413,624.0
42,Y3Vyc29yOjQz,feathericons/react-feather,https://github.com/feathericons/react-feather,1386,0.0
43,Y3Vyc29yOjQ0,vazco/uniforms,https://github.com/vazco/uniforms,1372,1176.0
44,Y3Vyc29yOjQ1,myxvisual/react-uwp,https://github.com/myxvisual/react-uwp,1144,48.0
45,Y3Vyc29yOjQ2,jaywcjlove/awesome-uikit,https://github.com/jaywcjlove/awesome-uikit,1137,0.0
46,Y3Vyc29yOjQ3,jakubgarfield/expenses,https://github.com/jakubgarfield/expenses,1105,3120.0
47,Y3Vyc29yOjQ4,couds/react-bulma-components,https://github.com/couds/react-bulma-components,1015,0.0
48,Y3Vyc29yOjQ5,gilbarbara/react-inlinesvg,https://github.com/gilbarbara/react-inlinesvg,956,42408.0
49,Y3Vyc29yOjUw,jrowny/react-absolute-grid,https://github.com/jrowny/react-absolute-grid,910,0.0
50,Y3Vyc29yOjUx,CVarisco/create-component-app,https://github.com/CVarisco/create-component-app,879,0.0
51,Y3Vyc29yOjUy,thedevelobear/react-rewards,https://github.com/thedevelobear/react-rewards,854,0.0
52,Y3Vyc29yOjUz,ZhongAnTech/zarm,https://github.com/ZhongAnTech/zarm,828,0.0
53,Y3Vyc29yOjU0,wix/wix-style-react,https://github.com/wix/wix-style-react,799,24.0
54,Y3Vyc29yOjU1,anubhavsrivastava/awesome-ui-component-library,https://github.com/anubhavsrivastava/awesome-ui-component-library,704,0.0
55,Y3Vyc29yOjU2,ukrbublik/react-awesome-query-builder,https://github.com/ukrbublik/react-awesome-query-builder,690,72.0
56,Y3Vyc29yOjU3,seeden/react-facebook,https://github.com/seeden/react-facebook,664,24.0
57,Y3Vyc29yOjU4,blueberryapps/react-bluekit,https://github.com/blueberryapps/react-bluekit,658,2640.0
58,Y3Vyc29yOjU5,mbasso/react-decoration,https://github.com/mbasso/react-decoration,641,96.0
59,Y3Vyc29yOjYw,stephane-monnot/react-vertical-timeline,https://github.com/stephane-monnot/react-vertical-timeline,639,24.0
60,Y3Vyc29yOjYx,pivotal-cf/pivotal-ui,https://github.com/pivotal-cf/pivotal-ui,637,0.0
61,Y3Vyc29yOjYy,sumup-oss/circuit-ui,https://github.com/sumup-oss/circuit-ui,628,24.0
62,Y3Vyc29yOjYz,kimmelsg/cj-upload,https://github.com/kimmelsg/cj-upload,588,24.0
63,Y3Vyc29yOjY0,digiaonline/react-foundation,https://github.com/digiaonline/react-foundation,573,12696.0
