,nameWithOwner,createdAt,releasesByRepoAge,averageTimeForMergePR
mui-org/material-ui,2014-08-18T19:11:54Z,44.74,2
brillout/awesome-react-components,2016-06-24T15:19:33Z,0.0,12
bvaughn/react-virtualized,2015-11-03T00:48:07Z,0.73,8
enzymejs/enzyme,2015-11-10T21:45:38Z,0.0,20
necolas/react-native-web,2015-06-09T19:25:38Z,2.91,4
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,428.92,2
Semantic-Org/Semantic-UI-React,2015-06-19T16:47:19Z,2.41,9
microsoft/fluentui,2016-06-06T15:03:44Z,1402.67,3
ant-design/ant-design-mobile,2015-11-30T03:33:06Z,18.59,4
rebassjs/rebass,2015-02-11T14:48:09Z,0.65,7
uber/baseweb,2018-03-09T01:32:10Z,107.42,1
react-ui-builder/structor,2015-10-17T15:49:40Z,6.36,0
nteract/nteract,2015-06-15T23:21:49Z,11.3,2
rsuite/rsuite,2016-06-06T02:27:46Z,18.72,3
mobxjs/mobx-react,2015-08-28T11:09:05Z,0.53,10
shakacode/react_on_rails,2015-08-20T20:31:54Z,0.0,5
adobe/react-spectrum,2019-09-13T23:32:51Z,0.0,7
appbaseio/reactivesearch,2017-02-15T15:21:24Z,59.62,4
beautifulinteractions/beautiful-react-hooks,2019-12-18T19:50:43Z,6.77,3
APSL/react-native-keyboard-aware-scroll-view,2015-10-20T18:22:34Z,6.56,28
ant-design/ant-motion,2016-02-17T02:48:28Z,2.33,6
0wczar/airframe-react,2019-08-14T21:34:00Z,0.0,0
lingui/js-lingui,2017-01-17T17:26:46Z,11.08,5
roylee0704/react-flexbox-grid,2015-11-16T07:47:50Z,0.55,25
weui/react-weui,2015-10-12T06:10:32Z,0.91,7
ElemeFE/element-react,2016-10-18T06:56:20Z,8.46,3
xiaolin/react-image-gallery,2015-02-27T23:41:41Z,7.18,15
react-component/slider,2015-04-19T07:30:44Z,3.01,22
elrumordelaluz/reactour,2017-03-17T18:43:49Z,2.94,5
zhihu/griffith,2019-03-22T06:08:17Z,4.83,0
video-react/video-react,2016-09-29T00:10:58Z,1.54,2
rcaferati/react-awesome-slider,2016-06-12T18:45:33Z,2.07,2
rnosov/react-reveal,2016-10-11T17:58:52Z,0.0,0
primefaces/primereact,2016-12-16T15:56:27Z,18.48,20
tabler/tabler-react,2018-04-12T21:32:09Z,19.27,35
geist-org/react,2020-03-18T17:14:17Z,65.74,1
DevExpress/devextreme-reactive,2017-03-17T07:10:12Z,21.08,4
nexxtway/react-rainbow,2018-08-28T05:34:53Z,14.83,2
kentcdodds/advanced-react-patterns,2019-02-11T21:46:26Z,0.0,0
siriwatknp/mui-treasury,2019-03-11T16:21:23Z,0.0,1
beizhedenglong/rough-charts,2019-10-04T05:19:54Z,0.0,0
react-cropper/react-cropper,2015-05-06T06:32:36Z,2.02,2
feathericons/react-feather,2017-06-14T11:01:13Z,0.0,54
vazco/uniforms,2016-05-10T13:08:50Z,0.0,6
myxvisual/react-uwp,2017-01-09T04:20:58Z,0.7,3
jaywcjlove/awesome-uikit,2017-12-07T16:33:57Z,0.0,0
jakubgarfield/expenses,2017-06-06T04:53:58Z,0.0,6
couds/react-bulma-components,2017-09-18T15:14:39Z,9.5,12
gilbarbara/react-inlinesvg,2014-03-23T05:04:09Z,4.38,19
jrowny/react-absolute-grid,2015-06-11T20:02:58Z,0.0,60
CVarisco/create-component-app,2017-06-27T20:41:11Z,1.84,2
thedevelobear/react-rewards,2018-11-12T23:28:34Z,0.0,16
ZhongAnTech/zarm,2016-07-13T11:45:37Z,10.71,2
wix/wix-style-react,2016-11-14T14:37:00Z,0.0,2
anubhavsrivastava/awesome-ui-component-library,2018-11-25T07:32:19Z,0.0,0
ukrbublik/react-awesome-query-builder,2017-07-26T12:07:17Z,13.98,3
seeden/react-facebook,2016-02-21T17:31:51Z,4.27,22
blueberryapps/react-bluekit,2015-11-24T13:17:51Z,1.67,2
stephane-monnot/react-vertical-timeline,2017-10-26T22:06:31Z,2.31,20
mbasso/react-decoration,2016-09-27T20:59:55Z,1.54,5
pivotal-cf/pivotal-ui,2014-05-16T18:52:56Z,3.18,5
sumup-oss/circuit-ui,2017-06-26T09:57:50Z,60.1,4
kimmelsg/cj-upload,2016-08-30T03:15:37Z,6.48,2
Detaysoft/react-chat-elements,2017-07-30T18:46:29Z,16.17,8
digiaonline/react-foundation,2016-03-10T19:58:03Z,1.96,8
creativetimofficial/light-bootstrap-dashboard-react,2017-09-19T14:03:33Z,0.28,61
react-theming/storybook-addon-material-ui,2016-09-13T08:30:16Z,3.92,3
infeng/react-viewer,2016-09-29T14:57:05Z,8.79,39
antvis/Graphin,2019-11-06T13:15:50Z,5.56,26
craig1123/react-recipes,2019-10-25T02:01:29Z,0.0,2
spotify/reactochart,2016-01-07T20:58:18Z,6.64,4
patternfly/patternfly-react,2017-03-08T22:31:12Z,1816.3,6
kulakowka/react-bulma,2017-05-30T21:04:25Z,0.0,2
dsznajder/vscode-es7-javascript-react-snippets,2017-06-07T18:52:04Z,0.0,4
strapi/buffet,2019-01-25T09:47:01Z,13.51,4
brandonmowat/react-chat-ui,2016-08-22T14:11:11Z,0.22,82
cloudinary/cloudinary-react,2016-08-30T10:56:20Z,6.26,20
TroyAlford/react-jsx-parser,2017-01-30T00:28:31Z,9.98,2
instamobile/recipes-app-react-native,2019-07-23T03:53:48Z,0.0,0
bem/bem-react,2016-06-01T16:16:02Z,6.98,4
ayrton/react-key-handler,2016-02-27T20:27:48Z,0.0,17
ConsenSysMesh/rimble-ui,2018-07-10T18:24:51Z,4.33,5
bmcmahen/sancho,2019-02-25T20:50:06Z,0.0,0
XiaoMi/hiui,2018-10-08T10:10:20Z,24.21,2
dennismorello/react-awesome-reveal,2019-11-24T10:39:59Z,14.39,3
vortesnail/qier-player,2019-10-14T12:54:21Z,0.0,0
iansinnott/react-string-replace,2016-02-03T23:22:02Z,1.15,37
leefsmp/Re-Flex,2016-12-21T06:49:31Z,0.0,25
sarneeh/reaptcha,2018-05-29T08:55:50Z,0.0,3
React-Scope/React-Scope,2018-01-20T18:50:49Z,0.0,0
segunadebayo/chakra-ui,2019-06-06T23:07:21Z,0.0,0
wwwaiser/react-js-pagination,2015-09-30T11:40:57Z,0.9,20
ibitcy/eo-locale,2018-05-10T13:59:53Z,2.73,0
avocode/react-shortcuts,2015-08-21T09:09:16Z,0.0,6
garrettmac/react-native-pagination,2017-07-17T16:41:59Z,0.0,5
ruby-hyperloop/hyper-react,2016-06-09T18:24:04Z,0.0,12
twisty/formsy-react-components,2015-04-29T10:04:39Z,8.21,3
bcrumbs/reactackle,2017-06-15T17:17:16Z,0.0,10
philipp-spiess/react-recomponent,2018-06-02T13:05:01Z,2.79,0
pagarme/react-event-components,2016-11-05T15:22:59Z,0.0,11
JulienRioux/flawwwless-ui,2019-06-19T14:13:12Z,0.0,4
contiamo/operational-ui,2017-08-02T11:44:17Z,2.97,1
adexin/spinners-react,2020-02-12T13:05:47Z,0.0,70
Esri/react-arcgis,2017-03-17T19:06:37Z,0.74,3
coreui/coreui-react,2018-02-26T18:14:32Z,19.49,4
toomuchdesign/react-minimal-pie-chart,2017-03-13T11:35:57Z,0.0,3
alexeyraspopov/react-coroutine,2016-09-07T09:40:27Z,4.56,0
lilactown/hx,2018-06-08T15:02:28Z,1.4,14
juliancwirko/react-npm-boilerplate,2016-02-13T16:54:01Z,0.0,0
emortlock/tailwind-react-ui,2018-08-10T06:19:43Z,7.84,1
Yoshino-UI/Yoshino,2018-03-25T08:00:14Z,0.0,0
creativetimofficial/notus-react,2020-09-01T07:23:16Z,3.23,0
worldzhao/react-ui-library-tutorial,2019-12-18T01:59:46Z,0.0,0
Lodin/react-vtree,2017-12-25T10:10:21Z,3.32,1
jxnblk/nano-component,2017-07-25T21:56:54Z,0.0,0
aichbauer/styled-bootstrap-components,2018-03-06T19:48:13Z,0.0,15
ice-lab/react-materials,2019-04-02T13:14:12Z,0.49,3
upmostly/modali,2019-04-04T10:50:27Z,1.48,5
sapegin/react-components,2016-09-01T13:04:10Z,0.0,0
enactjs/enact,2016-09-08T00:14:51Z,19.74,6
