nameWithOwner,stars,totalIssues,closedWithParticipation
mui-org/material-ui,67849,12885,11904
chakra-ui/chakra-ui,17340,1762,1535
Semantic-Org/Semantic-UI-React,12227,2384,2060
microsoft/fluentui,11250,7553,6367
rebassjs/rebass,7271,469,379
uber/baseweb,6304,777,575
adobe/react-spectrum,4535,556,356
weui/react-weui,2767,223,128
ElemeFE/element-react,2618,472,207
primefaces/primereact,1980,1719,875
couds/react-bulma-components,1031,186,166
pivotal-cf/pivotal-ui,638,270,231
sumup-oss/circuit-ui,638,160,121
digiaonline/react-foundation,574,52,39
uiwjs/uiw,539,42,26
patternfly/patternfly-react,464,2723,2008
kulakowka/react-bulma,454,16,7
ConsenSysMesh/rimble-ui,380,299,177
bmcmahen/sancho,372,44,8
segunadebayo/chakra-ui,322,5,0
Yoshino-UI/Yoshino,216,9,2
aichbauer/styled-bootstrap-components,195,37,26
syncfusion/ej2-react-ui-components,173,75,62
shine-design/shine-design,154,0,0
SAP/fundamental-react,153,366,178
contentful/forma-36,142,104,76
vtex/styleguide,139,302,191
brainly/style-guide,138,667,319
fluent-org/fluent-windows,119,11,1
tranbathanhtung/re-jok,102,3,2
